886,Taiwan
93,Afghanistan
355,Albania
213,Algeria
1684,American Samoa
376,Andorra
244,Angola
1264,Anguilla
672,Antarctica
1268,Antigua & Barbuda
54,Argentina
374,Armenia
297,Aruba
61,Australia
43,Austria
994,Azerbaijan
1242,Bahamas
973,Bahrain
880,Bangladesh
1246,Barbados
375,Belarus
32,Belgium
501,Belize
229,Benin
1441,Bermuda
975,Bhutan
591,Bolivia
387,Bosnia
267,Botswana
55,Brazil
246,British Indian Ocean Territory
1284,British Virgin Islands
673,Brunei
359,Bulgaria
226,Burkina Faso
257,Burundi
238,Cape Verde
855,Cambodia
237,Cameroon
1,US/Canada
1345,Cayman Islands
236,Central African Republic
235,Chad
56,Chile
86,China
852,Hong Kong
853,Macau
57,Colombia
269,Comoros
242,Congo - Brazzaville
682,Cook Islands
506,Costa Rica
385,Croatia
53,Cuba
599,Curaçao
357,Cyprus
420,Czechia
225,Côte d’Ivoire
850,North Korea
243,Congo - Kinshasa
45,Denmark
253,Djibouti
1767,Dominica
1809,Dominican Republic
593,Ecuador
20,Egypt
503,El Salvador
240,Equatorial Guinea
291,Eritrea
372,Estonia
268,Eswatini
251,Ethiopia
298,Faroe Islands
679,Fiji
358,Finland
33,France
594,French Guiana
689,French Polynesia
262,French Southern Territories
241,Gabon
220,Gambia
995,Georgia
49,Germany
233,Ghana
350,Gibraltar
30,Greece
299,Greenland
1473,Grenada
590,Guadeloupe
1671,Guam
502,Guatemala
224,Guinea
245,Guinea-Bissau
592,Guyana
509,Haiti
3906,Vatican City
504,Honduras
36,Hungary
354,Iceland
91,India
62,Indonesia
98,Iran
964,Iraq
353,Ireland
972,Israel
39,Italy
1876,Jamaica
81,Japan
962,Jordan
254,Kenya
686,Kiribati
965,Kuwait
996,Kyrgyzstan
856,Laos
371,Latvia
961,Lebanon
266,Lesotho
231,Liberia
218,Libya
423,Liechtenstein
370,Lithuania
352,Luxembourg
261,Madagascar
265,Malawi
60,Malaysia
960,Maldives
223,Mali
356,Malta
692,Marshall Islands
596,Martinique
222,Mauritania
230,Mauritius
52,Mexico
691,Micronesia
377,Monaco
976,Mongolia
382,Montenegro
1664,Montserrat
212,Morocco
258,Mozambique
95,Myanmar
264,Namibia
674,Nauru
977,Nepal
31,Netherlands
687,New Caledonia
64,New Zealand
505,Nicaragua
227,Niger
234,Nigeria
683,Niue
1670,Northern Mariana Islands
47,Norway
968,Oman
92,Pakistan
680,Palau
507,Panama
675,Papua New Guinea
595,Paraguay
51,Peru
63,Philippines
870,Pitcairn Islands
48,Poland
351,Portugal
974,Qatar
82,South Korea
373,Moldova
40,Romania
7,Russia
250,Rwanda
290,St. Helena
1869,St. Kitts & Nevis
1758,St. Lucia
508,St. Pierre & Miquelon
1784,St. Vincent & Grenadines
685,Samoa
378,San Marino
239,São Tomé & Príncipe
966,Saudi Arabia
221,Senegal
381,Serbia
248,Seychelles
232,Sierra Leone
65,Singapore
1721,Sint Maarten
421,Slovakia
386,Slovenia
677,Solomon Islands
252,Somalia
27,South Africa
500,South Georgia & South Sandwich Islands
211,South Sudan
34,Spain
94,Sri Lanka
970,Palestine
249,Sudan
597,Suriname
46,Sweden
41,Switzerland
963,Syria
992,Tajikistan
66,Thailand
389,Macedonia
670,Timor-Leste
228,Togo
690,Tokelau
676,Tonga
1868,Trinidad & Tobago
216,Tunisia
90,Turkey
993,Turkmenistan
1649,Turks & Caicos Islands
688,Tuvalu
256,Uganda
380,Ukraine
971,United Arab Emirates
44,UK
255,Tanzania
1340,U.S. Virgin Islands
598,Uruguay
998,Uzbekistan
678,Vanuatu
58,Venezuela
84,Vietnam
681,Wallis & Futuna
967,Yemen
260,Zambia
263,Zimbabwe